lineNum,countryCode,year,sex,sport,sportcode,goldInSport,silverInSport,bronzeInSport,goldInSportCode,silverInSportCode,bronzeInSportCode,goldInSportCodeSex,silverInSportCodeSex,bronzeInSportCodeSex,athletesBaseThisYear,athletesCodeThisYear,athletesSexThisYear,athletesBothThisYear,athletesLastYear,athletesCodeLastYear,athletesSexLastYear,athletesBothLastYear
39,1,31,1,29,47,16,22,46,8,11,25,8,11,25,0,0,0,0,587,14,317,12
40,1,31,1,30,48,0,0,0,0,0,0,0,0,0,0,0,0,0,587,14,317,14
41,1,31,1,30,49,0,0,0,0,0,0,0,0,0,0,0,0,0,587,0,317,0
42,1,31,1,31,50,6,6,2,3,3,2,3,3,2,0,0,0,0,587,13,317,5
43,1,31,1,32,51,22,16,24,34,18,29,11,8,29,0,0,0,0,587,33,317,12
44,1,31,1,33,52,0,0,0,0,0,0,0,0,0,0,0,0,0,587,4,317,4
45,1,31,1,34,53,0,2,0,0,2,0,0,1,0,0,0,0,0,587,7,317,4
46,1,31,1,35,54,0,0,0,0,0,0,0,0,0,0,0,0,0,587,0,317,0
47,1,31,1,36,55,0,0,0,0,0,0,0,0,0,0,0,0,0,587,1,317,1
48,1,31,1,37,56,66,32,10,67,28,9,33,16,9,0,0,0,0,587,12,317,5
49,1,31,1,38,57,12,4,0,7,2,4,6,2,4,0,0,0,0,587,6,317,4
50,1,31,1,39,58,8,2,10,6,4,8,4,1,8,0,0,0,0,587,12,317,8
51,1,31,1,40,59,0,0,0,0,0,0,0,0,0,0,0,0,0,587,1,317,1
52,1,31,1,42,61,68,22,50,0,2,2,0,2,2,0,0,0,0,587,2,317,2
53,1,31,1,42,62,68,22,50,34,9,23,34,9,23,0,0,0,0,587,13,317,13
54,1,31,1,44,64,46,4,0,46,16,8,23,2,8,0,0,0,0,587,18,317,8
55,1,31,1,45,65,0,0,0,0,0,0,0,0,0,0,0,0,0,587,0,317,0
56,1,31,1,45,66,0,0,0,0,0,0,0,0,0,0,0,0,0,587,0,317,0
57,2,31,1,0,0,8,14,20,0,0,0,0,0,0,0,0,0,0,161,0,81,0
58,2,31,1,0,1,8,14,20,1,4,1,1,0,1,0,0,0,0,161,9,81,0
59,2,31,1,0,2,8,14,20,0,0,0,0,0,0,0,0,0,0,161,0,81,0
60,2,31,1,0,3,8,14,20,3,9,10,3,7,10,0,0,0,0,161,16,81,12
61,2,31,1,0,4,8,14,20,0,0,0,0,0,0,0,0,0,0,161,0,81,0
62,2,31,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,161,1,81,1
63,2,31,1,2,6,0,2,2,0,4,3,0,1,3,0,0,0,0,161,4,81,3
64,2,31,1,3,7,0,6,0,3,5,6,0,3,6,0,0,0,0,161,9,81,3
65,2,31,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,80,0
66,2,31,1,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,81,0
67,2,31,1,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,81,0
68,2,31,1,9,15,0,0,6,0,0,3,0,0,3,0,0,0,0,161,8,81,3
69,2,31,1,9,16,0,0,6,0,0,0,0,0,0,0,0,0,0,161,0,81,0
70,2,31,1,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,81,0
71,2,31,1,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,81,0
72,2,31,1,12,19,0,4,0,0,0,0,0,0,0,0,0,0,0,161,0,81,0
73,2,31,1,12,20,0,4,0,0,0,0,0,0,0,0,0,0,0,161,2,81,2
74,2,31,1,12,21,0,4,0,0,0,0,0,0,0,0,0,0,0,161,3,81,2
75,2,31,1,12,22,0,4,0,0,0,0,0,0,0,0,0,0,0,161,13,81,5
76,2,31,1,12,23,0,4,0,2,8,1,0,2,1,0,0,0,0,161,15,81,5
77,2,31,0,13,24,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,80,0
78,2,31,0,13,25,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,80,0
79,2,31,0,13,26,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,80,0
80,2,31,0,13,27,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,80,0
81,2,31,0,13,28,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,80,0
82,2,31,1,14,29,2,2,4,1,2,3,1,1,3,0,0,0,0,161,0,81,0
83,2,31,1,15,30,0,0,0,0,12,0,0,0,0,0,0,0,0,161,0,81,0
84,2,31,1,16,31,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,81,0
85,2,31,1,17,32,0,0,0,32,111,33,0,0,33,0,0,0,0,161,0,81,0
86,2,31,1,18,33,0,0,0,0,0,0,0,0,0,0,0,0,0,161,4,81,2
87,2,31,0,19,34,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,80,0
88,2,31,0,19,35,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,80,0
89,2,31,1,19,36,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,81,0
90,2,31,1,20,37,180,0,60,75,15,15,45,0,15,0,0,0,0,161,33,81,17
91,2,31,1,20,37,180,0,60,75,15,15,45,0,15,0,0,0,0,161,33,81,17
92,2,31,1,22,39,0,0,0,0,0,0,0,0,0,0,0,0,0,161,1,81,1
93,2,31,1,24,41,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,81,0
94,2,31,1,25,42,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,81,0
95,2,31,1,29,46,0,2,16,0,0,0,0,0,0,0,0,0,0,161,0,81,0
96,2,31,1,29,47,0,2,16,26,13,42,0,1,42,0,0,0,0,161,16,81,15
97,2,31,1,30,48,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,81,0
98,2,31,1,30,49,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,81,0
99,2,31,1,31,50,4,2,14,25,25,18,2,1,18,0,0,0,0,161,9,81,3
100,2,31,1,32,51,0,0,0,7,11,10,0,0,10,0,0,0,0,161,5,81,4
101,2,31,1,33,52,0,0,0,0,0,0,0,0,0,0,0,0,0,161,1,81,0
102,2,31,1,34,53,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,81,0
103,2,31,1,35,54,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,81,0
104,2,31,1,36,55,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,81,0
105,2,31,1,37,56,0,0,0,0,0,2,0,0,2,0,0,0,0,161,5,81,0
106,2,31,1,38,57,0,0,0,0,0,1,0,0,1,0,0,0,0,161,1,81,0
107,2,31,1,39,58,0,2,0,0,1,0,0,1,0,0,0,0,0,161,2,81,2
108,2,31,1,40,59,0,0,0,0,0,0,0,0,0,0,0,0,0,161,2,81,1
109,2,31,1,42,61,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,81,0
110,2,31,1,42,62,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,81,0
111,2,31,1,44,64,0,0,0,1,2,0,0,0,0,0,0,0,0,161,1,81,0
112,2,31,1,45,65,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,81,0
113,2,31,1,45,66,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,81,0
114,3,31,1,0,0,76,86,84,0,0,2,0,0,2,0,0,0,0,449,2,225,0
115,3,31,1,0,1,76,86,84,0,0,2,0,0,2,0,0,0,0,449,23,225,1
116,3,31,1,0,2,76,86,84,1,1,0,1,1,0,0,0,0,0,449,1,225,1
117,3,31,1,0,3,76,86,84,30,50,38,25,42,38,0,0,0,0,449,46,225,21
118,3,31,1,0,4,76,86,84,12,0,32,12,0,32,0,0,0,0,449,13,225,13
119,3,31,1,1,5,0,0,0,8,2,1,0,0,1,0,0,0,0,449,9,225,6
120,3,31,1,2,6,24,22,14,18,19,15,12,11,15,0,0,0,0,449,57,225,34
121,3,31,1,3,7,0,2,0,0,1,0,0,1,0,0,0,0,0,449,2,225,0
122,3,31,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,449,0,224,0
123,3,31,1,5,10,0,0,0,4,0,0,0,0,0,0,0,0,0,449,4,225,0
124,3,31,1,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,449,0,225,0
125,3,31,1,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,449,4,225,4
126,3,31,1,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,449,6,225,4
127,3,31,1,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,449,0,225,0
128,3,31,1,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,449,0,225,0
129,3,31,1,12,19,4,8,10,0,0,0,0,0,0,0,0,0,0,449,0,225,0
130,3,31,1,12,20,4,8,10,1,1,1,0,1,1,0,0,0,0,449,6,225,4
131,3,31,1,12,21,4,8,10,0,0,0,0,0,0,0,0,0,0,449,2,225,2
132,3,31,1,12,22,4,8,10,1,3,1,1,2,1,0,0,0,0,449,10,225,6
133,3,31,1,12,23,4,8,10,12,2,4,1,1,4,0,0,0,0,449,29,225,14
134,3,31,0,13,24,0,0,0,0,0,0,0,0,0,0,0,0,0,449,0,224,0
135,3,31,0,13,25,0,0,0,0,0,0,0,0,0,0,0,0,0,449,0,224,0
136,3,31,0,13,26,0,0,0,0,0,0,0,0,0,0,0,0,0,449,0,224,0
137,3,31,0,13,27,0,0,0,0,0,0,0,0,0,0,0,0,0,449,0,224,0
138,3,31,0,13,28,0,0,0,0,0,0,0,0,0,0,0,0,0,449,0,224,0
139,3,31,1,14,29,0,0,0,0,1,30,0,0,30,0,0,0,0,449,1,225,0
140,3,31,1,15,30,166,64,96,133,87,88,83,32,88,0,0,0,0,449,35,225,17
141,3,31,1,16,31,0,0,0,0,0,0,0,0,0,0,0,0,0,449,0,225,0
142,3,31,1,17,32,20,0,0,11,0,42,10,0,42,0,0,0,0,449,0,225,0
143,3,31,1,18,33,2,0,0,1,0,0,1,0,0,0,0,0,0,449,1,225,1
144,3,31,0,19,34,0,0,0,0,0,0,0,0,0,0,0,0,0,449,76,224,43
145,3,31,0,19,35,0,0,0,0,0,0,0,0,0,0,0,0,0,449,0,224,0
146,3,31,1,19,36,0,0,0,0,0,0,0,0,0,0,0,0,0,449,0,225,0
147,3,31,1,20,37,0,0,0,0,0,0,0,0,0,0,0,0,0,449,17,225,17
148,3,31,1,20,37,0,0,0,0,0,0,0,0,0,0,0,0,0,449,17,225,17
149,3,31,1,22,39,0,4,18,4,2,18,0,2,18,0,0,0,0,449,20,225,5
150,3,31,1,24,41,0,0,0,0,0,0,0,0,0,0,0,0,0,449,0,225,0
151,3,31,1,25,42,0,0,0,0,0,0,0,0,0,0,0,0,0,449,0,225,0
152,3,31,1,29,46,22,68,70,0,0,0,0,0,0,0,0,0,0,449,0,225,0
153,3,31,1,29,47,22,68,70,36,74,70,11,34,70,0,0,0,0,449,33,225,13
154,3,31,1,30,48,0,0,0,0,0,0,0,0,0,0,0,0,0,449,0,225,0
155,3,31,1,30,49,0,0,0,0,0,0,0,0,0,0,0,0,0,449,0,225,0
156,3,31,1,31,50,8,16,14,15,20,17,4,8,17,0,0,0,0,449,11,225,5
157,3,31,1,32,51,0,0,0,0,1,5,0,0,5,0,0,0,0,449,0,225,0
158,3,31,1,33,52,0,0,0,0,0,0,0,0,0,0,0,0,0,449,2,225,2
159,3,31,1,34,53,0,0,0,0,0,0,0,0,0,0,0,0,0,449,0,225,0
160,3,31,1,35,54,0,0,0,0,0,0,0,0,0,0,0,0,0,449,0,225,0
161,3,31,1,36,55,0,0,0,0,0,0,0,0,0,0,0,0,0,449,0,225,0
162,3,31,1,37,56,0,0,0,0,0,0,0,0,0,0,0,0,0,449,1,225,1
163,3,31,1,38,57,0,0,0,0,0,0,0,0,0,0,0,0,0,449,0,225,0
164,3,31,1,39,58,0,4,0,0,2,2,0,2,2,0,0,0,0,449,11,225,3
165,3,31,1,40,59,0,0,0,0,0,0,0,0,0,0,0,0,0,449,4,225,2
166,3,31,1,42,61,0,0,0,0,0,2,0,0,2,0,0,0,0,449,6,225,2
167,3,31,1,42,62,0,0,0,12,12,0,0,0,0,0,0,0,0,449,13,225,13
168,3,31,1,44,64,0,0,0,0,0,3,0,0,3,0,0,0,0,449,0,225,0
169,3,31,1,45,65,0,0,0,0,0,0,0,0,0,0,0,0,0,449,0,225,0
170,3,31,1,45,66,0,0,0,0,0,0,0,0,0,0,0,0,0,449,0,225,0
171,4,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,29,0
172,4,31,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,62,9,29,0
173,4,31,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,29,0
174,4,31,1,0,3,0,0,0,0,1,4,0,0,4,0,0,0,0,62,2,29,1
175,4,31,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,29,0
176,4,31,1,1,5,0,0,2,1,3,2,0,0,2,0,0,0,0,62,1,29,0
177,4,31,1,2,6,2,4,0,64,42,32,1,2,32,0,0,0,0,62,25,29,18
178,4,31,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,62,1,29,0
179,4,31,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,33,0
180,4,31,1,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,29,0
181,4,31,1,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,29,0
182,4,31,1,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,29,0
183,4,31,1,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,29,0
184,4,31,1,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,29,0
185,4,31,1,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,29,0
186,4,31,1,12,19,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,29,0
187,4,31,1,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,29,0
188,4,31,1,12,21,0,0,0,0,0,0,0,0,0,0,0,0,0,62,1,29,0
189,4,31,1,12,22,0,0,0,0,0,0,0,0,0,0,0,0,0,62,2,29,2
190,4,31,1,12,23,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,29,0
191,4,31,0,13,24,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,33,0
192,4,31,0,13,25,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,33,0
193,4,31,0,13,26,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,33,0
194,4,31,0,13,27,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,33,0
195,4,31,0,13,28,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,33,0
196,4,31,1,14,29,0,0,0,0,1,8,0,0,8,0,0,0,0,62,0,29,0
197,4,31,1,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,29,0
198,4,31,1,16,31,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,29,0
199,4,31,1,17,32,0,0,0,15,23,52,0,0,52,0,0,0,0,62,0,29,0
200,4,31,1,18,33,0,0,0,0,0,0,0,0,0,0,0,0,0,62,4,29,2
201,4,31,0,19,34,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,33,0
202,4,31,0,19,35,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,33,0
203,4,31,1,19,36,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,29,0
204,4,31,1,20,37,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,29,0
205,4,31,1,20,37,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,29,0
206,4,31,1,22,39,0,0,0,0,0,0,0,0,0,0,0,0,0,62,2,29,0
207,4,31,1,24,41,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,29,0
208,4,31,1,25,42,0,0,0,0,1,10,0,0,10,0,0,0,0,62,0,29,0
209,4,31,1,29,46,0,4,0,0,0,0,0,0,0,0,0,0,0,62,0,29,0
210,4,31,1,29,47,0,4,0,3,2,11,0,2,11,0,0,0,0,62,0,29,0
211,4,31,1,30,48,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,29,0
212,4,31,1,30,49,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,29,0
213,4,31,1,31,50,0,2,6,3,8,24,0,1,24,0,0,0,0,62,7,29,3
214,4,31,1,32,51,2,0,0,4,11,26,1,0,26,0,0,0,0,62,4,29,1
215,4,31,1,33,52,0,0,0,0,0,0,0,0,0,0,0,0,0,62,1,29,1
216,4,31,1,34,53,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,29,0
217,4,31,1,35,54,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,29,0
218,4,31,1,36,55,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,29,0
219,4,31,1,37,56,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,29,0
220,4,31,1,38,57,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,29,0
221,4,31,1,39,58,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,29,0
222,4,31,1,40,59,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,29,0
223,4,31,1,42,61,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,29,0
224,4,31,1,42,62,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,29,0
225,4,31,1,44,64,0,0,0,1,0,2,0,0,2,0,0,0,0,62,2,29,0
226,4,31,1,45,65,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,29,0
227,4,31,1,45,66,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,29,0
228,5,31,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,128,0,58,0
229,5,31,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,128,3,58,1
230,5,31,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,128,3,58,0
231,5,31,1,0,3,0,0,2,0,1,1,0,0,1,0,0,0,0,128,2,58,0
232,5,31,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,128,0,58,0
233,5,31,1,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,128,0,58,0
234,5,31,1,2,6,2,6,2,11,7,8,1,3,8,0,0,0,0,128,30,58,13
235,5,31,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,58,0
236,5,31,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,70,0
237,5,31,1,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,58,0
238,5,31,1,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,58,0
239,5,31,1,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,128,7,58,7
240,5,31,1,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,58,0
241,5,31,1,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,58,0
242,5,31,1,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,58,0
243,5,31,1,12,19,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,58,0
244,5,31,1,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,58,0
245,5,31,1,12,21,0,0,0,0,0,0,0,0,0,0,0,0,0,128,1,58,0
246,5,31,1,12,22,0,0,0,0,0,0,0,0,0,0,0,0,0,128,6,58,2
247,5,31,1,12,23,0,0,0,0,0,0,0,0,0,0,0,0,0,128,1,58,1
248,5,31,0,13,24,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,70,0
249,5,31,0,13,25,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,70,0
250,5,31,0,13,26,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,70,0
251,5,31,0,13,27,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,70,0
252,5,31,0,13,28,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,70,0
253,5,31,1,14,29,0,0,0,0,1,0,0,0,0,0,0,0,0,128,0,58,0
254,5,31,1,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,58,0
255,5,31,1,16,31,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,58,0
256,5,31,1,17,32,34,0,32,61,55,52,17,0,52,0,0,0,0,128,0,58,0
257,5,31,1,18,33,0,0,0,0,0,0,0,0,0,0,0,0,0,128,4,58,2
258,5,31,0,19,34,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,70,0
259,5,31,0,19,35,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,70,0
260,5,31,1,19,36,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,58,0
261,5,31,1,20,37,172,112,176,43,28,44,43,28,44,0,0,0,0,128,31,58,17
262,5,31,1,20,37,172,112,176,43,28,44,43,28,44,0,0,0,0,128,31,58,17
263,5,31,1,22,39,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,58,0
264,5,31,1,24,41,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,58,0
265,5,31,1,25,42,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,58,0
266,5,31,1,29,46,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,58,0
267,5,31,1,29,47,0,0,0,4,19,39,0,0,39,0,0,0,0,128,10,58,2
268,5,31,1,30,48,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,58,0
269,5,31,1,30,49,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,58,0
270,5,31,1,31,50,4,0,2,81,37,9,2,0,9,0,0,0,0,128,5,58,4
271,5,31,1,32,51,0,0,0,29,33,15,0,0,15,0,0,0,0,128,13,58,4
272,5,31,1,33,52,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,58,0
273,5,31,1,34,53,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,58,0
274,5,31,1,35,54,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,58,0
275,5,31,1,36,55,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,58,0
276,5,31,1,37,56,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,58,0
277,5,31,1,38,57,0,4,0,0,2,0,0,2,0,0,0,0,0,128,1,58,0
278,5,31,1,39,58,0,0,2,0,0,1,0,0,1,0,0,0,0,128,1,58,0
279,5,31,1,40,59,0,0,0,1,0,0,0,0,0,0,0,0,0,128,4,58,2
280,5,31,1,42,61,0,0,0,2,0,2,0,0,2,0,0,0,0,128,2,58,0
281,5,31,1,42,62,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,58,0
282,5,31,1,44,64,2,0,0,2,0,0,1,0,0,0,0,0,0,128,2,58,2
283,5,31,1,45,65,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,58,0
284,5,31,1,45,66,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,58,0
285,6,31,1,0,0,6,4,6,0,0,0,0,0,0,0,0,0,0,144,0,87,0
286,6,31,1,0,1,6,4,6,0,0,0,0,0,0,0,0,0,0,144,0,87,0
287,6,31,1,0,2,6,4,6,0,0,0,0,0,0,0,0,0,0,144,0,87,0
288,6,31,1,0,3,6,4,6,4,2,5,3,2,5,0,0,0,0,144,5,87,1
289,6,31,1,0,4,6,4,6,0,0,0,0,0,0,0,0,0,0,144,13,87,0
290,6,31,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,144,1,87,1
291,6,31,1,2,6,22,26,18,11,14,10,11,13,10,0,0,0,0,144,12,87,9
292,6,31,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,87,0
293,6,31,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,57,0
294,6,31,1,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,87,0
295,6,31,1,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,87,0
