lineNum,countryCode,year,sex,sport,sportcode,goldInSport,silverInSport,bronzeInSport,goldInSportCode,silverInSportCode,bronzeInSportCode,goldInSportCodeSex,silverInSportCodeSex,bronzeInSportCodeSex,athletesBaseThisYear,athletesCodeThisYear,athletesSexThisYear,athletesBothThisYear,athletesLastYear,athletesCodeLastYear,athletesSexLastYear,athletesBothLastYear,goldThisYear,silverThisYear,bronzeThisYear
44,0,31,1,33,52,0,0,0,0,0,0,0,0,0,587,4,317,4,587,4,317,4,0,0,0
45,0,31,1,34,53,0,2,0,0,2,0,0,1,0,587,7,317,4,587,7,317,4,0,0,0
46,0,31,1,35,54,0,0,0,0,0,0,0,0,0,587,0,317,0,587,0,317,0,0,0,0
47,0,31,1,36,55,0,0,0,0,0,0,0,0,0,587,1,317,1,587,1,317,1,0,0,0
48,0,31,1,37,56,66,32,10,67,28,9,33,16,9,587,12,317,5,587,12,317,5,4,0,0
49,0,31,1,38,57,12,4,0,7,2,4,6,2,4,587,6,317,4,587,6,317,4,0,0,0
50,0,31,1,39,58,8,2,10,6,4,8,4,1,8,587,12,317,8,587,12,317,8,0,0,0
51,0,31,1,40,59,0,0,0,0,0,0,0,0,0,587,1,317,1,587,1,317,1,0,0,0
52,0,31,1,42,61,68,22,50,0,2,2,0,2,2,587,2,317,2,587,2,317,2,0,2,4
53,0,31,1,42,62,68,22,50,34,9,23,34,9,23,587,13,317,13,587,13,317,13,0,0,0
54,0,31,1,44,64,46,4,0,46,16,8,23,2,8,587,18,317,8,587,18,317,8,3,0,0
55,0,31,1,45,65,0,0,0,0,0,0,0,0,0,587,0,317,0,587,0,317,0,0,0,0
56,0,31,1,45,66,0,0,0,0,0,0,0,0,0,587,0,317,0,587,0,317,0,0,0,0
57,1,31,1,0,0,8,14,20,0,0,0,0,0,0,161,0,81,0,161,0,81,0,0,0,0
58,1,31,1,0,1,8,14,20,1,4,1,1,0,1,161,9,81,0,161,9,81,0,0,0,0
59,1,31,1,0,2,8,14,20,0,0,0,0,0,0,161,0,81,0,161,0,81,0,0,0,0
60,1,31,1,0,3,8,14,20,3,9,10,3,7,10,161,16,81,12,161,16,81,12,0,0,0
61,1,31,1,0,4,8,14,20,0,0,0,0,0,0,161,0,81,0,161,0,81,0,0,0,0
62,1,31,1,1,5,0,0,0,0,0,0,0,0,0,161,1,81,1,161,1,81,1,0,0,0
63,1,31,1,2,6,0,2,2,0,4,3,0,1,3,161,4,81,3,161,4,81,3,0,0,0
64,1,31,1,3,7,0,6,0,3,5,6,0,3,6,161,9,81,3,161,9,81,3,0,0,0
65,1,31,0,4,8,0,0,0,0,0,0,0,0,0,161,0,80,0,161,0,80,0,0,0,0
66,1,31,1,5,10,0,0,0,0,0,0,0,0,0,161,0,81,0,161,0,81,0,0,0,0
67,1,31,1,5,11,0,0,0,0,0,0,0,0,0,161,0,81,0,161,0,81,0,0,0,0
68,1,31,1,9,15,0,0,6,0,0,3,0,0,3,161,8,81,3,161,8,81,3,0,0,0
69,1,31,1,9,16,0,0,6,0,0,0,0,0,0,161,0,81,0,161,0,81,0,0,0,0
70,1,31,1,10,17,0,0,0,0,0,0,0,0,0,161,0,81,0,161,0,81,0,0,0,0
71,1,31,1,11,18,0,0,0,0,0,0,0,0,0,161,0,81,0,161,0,81,0,0,0,0
72,1,31,1,12,19,0,4,0,0,0,0,0,0,0,161,0,81,0,161,0,81,0,0,0,0
73,1,31,1,12,20,0,4,0,0,0,0,0,0,0,161,2,81,2,161,2,81,2,0,0,0
74,1,31,1,12,21,0,4,0,0,0,0,0,0,0,161,3,81,2,161,3,81,2,0,0,0
75,1,31,1,12,22,0,4,0,0,0,0,0,0,0,161,13,81,5,161,13,81,5,0,0,0
76,1,31,1,12,23,0,4,0,2,8,1,0,2,1,161,15,81,5,161,15,81,5,0,0,0
77,1,31,0,13,24,0,0,0,0,0,0,0,0,0,161,0,80,0,161,0,80,0,0,0,0
78,1,31,0,13,25,0,0,0,0,0,0,0,0,0,161,0,80,0,161,0,80,0,0,0,0
79,1,31,0,13,26,0,0,0,0,0,0,0,0,0,161,0,80,0,161,0,80,0,0,0,0
80,1,31,0,13,27,0,0,0,0,0,0,0,0,0,161,0,80,0,161,0,80,0,0,0,0
81,1,31,0,13,28,0,0,0,0,0,0,0,0,0,161,0,80,0,161,0,80,0,0,0,0
82,1,31,1,14,29,2,2,4,1,2,3,1,1,3,161,0,81,0,161,0,81,0,0,0,0
83,1,31,1,15,30,0,0,0,0,12,0,0,0,0,161,0,81,0,161,0,81,0,0,0,0
84,1,31,1,16,31,0,0,0,0,0,0,0,0,0,161,0,81,0,161,0,81,0,0,0,0
85,1,31,1,17,32,0,0,0,32,111,33,0,0,33,161,0,81,0,161,0,81,0,0,0,16
86,1,31,1,18,33,0,0,0,0,0,0,0,0,0,161,4,81,2,161,4,81,2,0,0,0
87,1,31,0,19,34,0,0,0,0,0,0,0,0,0,161,0,80,0,161,0,80,0,0,0,0
88,1,31,0,19,35,0,0,0,0,0,0,0,0,0,161,0,80,0,161,0,80,0,0,0,0
89,1,31,1,19,36,0,0,0,0,0,0,0,0,0,161,0,81,0,161,0,81,0,0,0,0
90,1,31,1,20,37,180,0,60,75,15,15,45,0,15,161,33,81,17,161,33,81,17,0,0,0
91,1,31,1,20,37,180,0,60,75,15,15,45,0,15,161,33,81,17,161,33,81,17,0,0,0
92,1,31,1,22,39,0,0,0,0,0,0,0,0,0,161,1,81,1,161,1,81,1,0,0,0
93,1,31,1,24,41,0,0,0,0,0,0,0,0,0,161,0,81,0,161,0,81,0,0,0,0
94,1,31,1,25,42,0,0,0,0,0,0,0,0,0,161,0,81,0,161,0,81,0,0,0,0
95,1,31,1,29,46,0,2,16,0,0,0,0,0,0,161,0,81,0,161,0,81,0,0,0,0
96,1,31,1,29,47,0,2,16,26,13,42,0,1,42,161,16,81,15,161,16,81,15,0,0,15
97,1,31,1,30,48,0,0,0,0,0,0,0,0,0,161,0,81,0,161,0,81,0,0,0,0
98,1,31,1,30,49,0,0,0,0,0,0,0,0,0,161,0,81,0,161,0,81,0,0,0,0
99,1,31,1,31,50,4,2,14,25,25,18,2,1,18,161,9,81,3,161,9,81,3,0,0,0
100,1,31,1,32,51,0,0,0,7,11,10,0,0,10,161,5,81,4,161,5,81,4,0,0,0
101,1,31,1,33,52,0,0,0,0,0,0,0,0,0,161,1,81,0,161,1,81,0,0,0,0
102,1,31,1,34,53,0,0,0,0,0,0,0,0,0,161,0,81,0,161,0,81,0,0,0,0
103,1,31,1,35,54,0,0,0,0,0,0,0,0,0,161,0,81,0,161,0,81,0,0,0,0
104,1,31,1,36,55,0,0,0,0,0,0,0,0,0,161,0,81,0,161,0,81,0,0,0,0
105,1,31,1,37,56,0,0,0,0,0,2,0,0,2,161,5,81,0,161,5,81,0,0,0,0
106,1,31,1,38,57,0,0,0,0,0,1,0,0,1,161,1,81,0,161,1,81,0,0,0,0
107,1,31,1,39,58,0,2,0,0,1,0,0,1,0,161,2,81,2,161,2,81,2,0,0,0
108,1,31,1,40,59,0,0,0,0,0,0,0,0,0,161,2,81,1,161,2,81,1,0,0,0
109,1,31,1,42,61,0,0,0,0,0,0,0,0,0,161,0,81,0,161,0,81,0,0,0,0
110,1,31,1,42,62,0,0,0,0,0,0,0,0,0,161,0,81,0,161,0,81,0,0,0,0
111,1,31,1,44,64,0,0,0,1,2,0,0,0,0,161,1,81,0,161,1,81,0,0,0,0
112,1,31,1,45,65,0,0,0,0,0,0,0,0,0,161,0,81,0,161,0,81,0,0,0,0
113,1,31,1,45,66,0,0,0,0,0,0,0,0,0,161,0,81,0,161,0,81,0,0,0,0
114,2,31,1,0,0,76,86,84,0,0,2,0,0,2,449,2,225,0,449,2,225,0,0,0,0
115,2,31,1,0,1,76,86,84,0,0,2,0,0,2,449,23,225,1,449,23,225,1,0,0,0
116,2,31,1,0,2,76,86,84,1,1,0,1,1,0,449,1,225,1,449,1,225,1,0,0,0
117,2,31,1,0,3,76,86,84,30,50,38,25,42,38,449,46,225,21,449,46,225,21,0,0,0
118,2,31,1,0,4,76,86,84,12,0,32,12,0,32,449,13,225,13,449,13,225,13,0,0,13
119,2,31,1,1,5,0,0,0,8,2,1,0,0,1,449,9,225,6,449,9,225,6,0,0,0
120,2,31,1,2,6,24,22,14,18,19,15,12,11,15,449,57,225,34,449,57,225,34,1,1,3
121,2,31,1,3,7,0,2,0,0,1,0,0,1,0,449,2,225,0,449,2,225,0,0,0,0
122,2,31,0,4,8,0,0,0,0,0,0,0,0,0,449,0,224,0,449,0,224,0,0,0,0
123,2,31,1,5,10,0,0,0,4,0,0,0,0,0,449,4,225,0,449,4,225,0,0,0,0
124,2,31,1,5,11,0,0,0,0,0,0,0,0,0,449,0,225,0,449,0,225,0,0,0,0
125,2,31,1,9,15,0,0,0,0,0,0,0,0,0,449,4,225,4,449,4,225,4,0,0,0
126,2,31,1,9,16,0,0,0,0,0,0,0,0,0,449,6,225,4,449,6,225,4,0,0,0
127,2,31,1,10,17,0,0,0,0,0,0,0,0,0,449,0,225,0,449,0,225,0,0,0,0
128,2,31,1,11,18,0,0,0,0,0,0,0,0,0,449,0,225,0,449,0,225,0,0,0,0
129,2,31,1,12,19,4,8,10,0,0,0,0,0,0,449,0,225,0,449,0,225,0,0,0,0
130,2,31,1,12,20,4,8,10,1,1,1,0,1,1,449,6,225,4,449,6,225,4,0,1,0
131,2,31,1,12,21,4,8,10,0,0,0,0,0,0,449,2,225,2,449,2,225,2,0,0,0
132,2,31,1,12,22,4,8,10,1,3,1,1,2,1,449,10,225,6,449,10,225,6,1,1,0
133,2,31,1,12,23,4,8,10,12,2,4,1,1,4,449,29,225,14,449,29,225,14,1,1,0
134,2,31,0,13,24,0,0,0,0,0,0,0,0,0,449,0,224,0,449,0,224,0,0,0,0
135,2,31,0,13,25,0,0,0,0,0,0,0,0,0,449,0,224,0,449,0,224,0,0,0,0
136,2,31,0,13,26,0,0,0,0,0,0,0,0,0,449,0,224,0,449,0,224,0,0,0,0
137,2,31,0,13,27,0,0,0,0,0,0,0,0,0,449,0,224,0,449,0,224,0,0,0,0
138,2,31,0,13,28,0,0,0,0,0,0,0,0,0,449,0,224,0,449,0,224,0,0,0,0
139,2,31,1,14,29,0,0,0,0,1,30,0,0,30,449,1,225,0,449,1,225,0,0,0,0
140,2,31,1,15,30,166,64,96,133,87,88,83,32,88,449,35,225,17,449,35,225,17,17,0,0
141,2,31,1,16,31,0,0,0,0,0,0,0,0,0,449,0,225,0,449,0,225,0,0,0,0
142,2,31,1,17,32,20,0,0,11,0,42,10,0,42,449,0,225,0,449,0,225,0,0,0,20
143,2,31,1,18,33,2,0,0,1,0,0,1,0,0,449,1,225,1,449,1,225,1,1,0,0
144,2,31,0,19,34,0,0,0,0,0,0,0,0,0,449,76,224,43,449,76,224,43,0,0,0
145,2,31,0,19,35,0,0,0,0,0,0,0,0,0,449,0,224,0,449,0,224,0,0,0,0
146,2,31,1,19,36,0,0,0,0,0,0,0,0,0,449,0,225,0,449,0,225,0,0,0,0
147,2,31,1,20,37,0,0,0,0,0,0,0,0,0,449,17,225,17,449,17,225,17,0,0,0
148,2,31,1,20,37,0,0,0,0,0,0,0,0,0,449,17,225,17,449,17,225,17,0,0,0
149,2,31,1,22,39,0,4,18,4,2,18,0,2,18,449,20,225,5,449,20,225,5,0,0,0
150,2,31,1,24,41,0,0,0,0,0,0,0,0,0,449,0,225,0,449,0,225,0,0,0,0
151,2,31,1,25,42,0,0,0,0,0,0,0,0,0,449,0,225,0,449,0,225,0,0,0,0
152,2,31,1,29,46,22,68,70,0,0,0,0,0,0,449,0,225,0,449,0,225,0,0,0,0
153,2,31,1,29,47,22,68,70,36,74,70,11,34,70,449,33,225,13,449,33,225,13,7,0,0
154,2,31,1,30,48,0,0,0,0,0,0,0,0,0,449,0,225,0,449,0,225,0,0,0,0
155,2,31,1,30,49,0,0,0,0,0,0,0,0,0,449,0,225,0,449,0,225,0,0,0,0
156,2,31,1,31,50,8,16,14,15,20,17,4,8,17,449,11,225,5,449,11,225,5,0,0,0
157,2,31,1,32,51,0,0,0,0,1,5,0,0,5,449,0,225,0,449,0,225,0,0,0,1
158,2,31,1,33,52,0,0,0,0,0,0,0,0,0,449,2,225,2,449,2,225,2,0,0,0
159,2,31,1,34,53,0,0,0,0,0,0,0,0,0,449,0,225,0,449,0,225,0,0,0,0
160,2,31,1,35,54,0,0,0,0,0,0,0,0,0,449,0,225,0,449,0,225,0,0,0,0
161,2,31,1,36,55,0,0,0,0,0,0,0,0,0,449,0,225,0,449,0,225,0,0,0,0
162,2,31,1,37,56,0,0,0,0,0,0,0,0,0,449,1,225,1,449,1,225,1,0,0,0
163,2,31,1,38,57,0,0,0,0,0,0,0,0,0,449,0,225,0,449,0,225,0,0,0,0
164,2,31,1,39,58,0,4,0,0,2,2,0,2,2,449,11,225,3,449,11,225,3,0,0,0
165,2,31,1,40,59,0,0,0,0,0,0,0,0,0,449,4,225,2,449,4,225,2,0,0,0
166,2,31,1,42,61,0,0,0,0,0,2,0,0,2,449,6,225,2,449,6,225,2,0,0,0
167,2,31,1,42,62,0,0,0,12,12,0,0,0,0,449,13,225,13,449,13,225,13,0,0,0
168,2,31,1,44,64,0,0,0,0,0,3,0,0,3,449,0,225,0,449,0,225,0,0,0,0
169,2,31,1,45,65,0,0,0,0,0,0,0,0,0,449,0,225,0,449,0,225,0,0,0,0
170,2,31,1,45,66,0,0,0,0,0,0,0,0,0,449,0,225,0,449,0,225,0,0,0,0
171,3,31,1,0,0,0,0,0,0,0,0,0,0,0,62,0,29,0,62,0,29,0,0,0,0
172,3,31,1,0,1,0,0,0,0,0,0,0,0,0,62,9,29,0,62,9,29,0,0,0,0
173,3,31,1,0,2,0,0,0,0,0,0,0,0,0,62,0,29,0,62,0,29,0,0,0,0
174,3,31,1,0,3,0,0,0,0,1,4,0,0,4,62,2,29,1,62,2,29,1,0,0,1
175,3,31,1,0,4,0,0,0,0,0,0,0,0,0,62,0,29,0,62,0,29,0,0,0,0
176,3,31,1,1,5,0,0,2,1,3,2,0,0,2,62,1,29,0,62,1,29,0,0,0,0
177,3,31,1,2,6,2,4,0,64,42,32,1,2,32,62,25,29,18,62,25,29,18,0,0,1
178,3,31,1,3,7,0,0,0,0,0,0,0,0,0,62,1,29,0,62,1,29,0,0,0,0
179,3,31,0,4,8,0,0,0,0,0,0,0,0,0,62,0,33,0,62,0,33,0,0,0,0
180,3,31,1,5,10,0,0,0,0,0,0,0,0,0,62,0,29,0,62,0,29,0,0,0,0
181,3,31,1,5,11,0,0,0,0,0,0,0,0,0,62,0,29,0,62,0,29,0,0,0,0
182,3,31,1,9,15,0,0,0,0,0,0,0,0,0,62,0,29,0,62,0,29,0,0,0,0
183,3,31,1,9,16,0,0,0,0,0,0,0,0,0,62,0,29,0,62,0,29,0,0,0,0
184,3,31,1,10,17,0,0,0,0,0,0,0,0,0,62,0,29,0,62,0,29,0,0,0,0
185,3,31,1,11,18,0,0,0,0,0,0,0,0,0,62,0,29,0,62,0,29,0,0,0,0
186,3,31,1,12,19,0,0,0,0,0,0,0,0,0,62,0,29,0,62,0,29,0,0,0,0
187,3,31,1,12,20,0,0,0,0,0,0,0,0,0,62,0,29,0,62,0,29,0,0,0,0
188,3,31,1,12,21,0,0,0,0,0,0,0,0,0,62,1,29,0,62,1,29,0,0,0,0
189,3,31,1,12,22,0,0,0,0,0,0,0,0,0,62,2,29,2,62,2,29,2,0,0,0
190,3,31,1,12,23,0,0,0,0,0,0,0,0,0,62,0,29,0,62,0,29,0,0,0,0
191,3,31,0,13,24,0,0,0,0,0,0,0,0,0,62,0,33,0,62,0,33,0,0,0,0
192,3,31,0,13,25,0,0,0,0,0,0,0,0,0,62,0,33,0,62,0,33,0,0,0,0
193,3,31,0,13,26,0,0,0,0,0,0,0,0,0,62,0,33,0,62,0,33,0,0,0,0
194,3,31,0,13,27,0,0,0,0,0,0,0,0,0,62,0,33,0,62,0,33,0,0,0,0
195,3,31,0,13,28,0,0,0,0,0,0,0,0,0,62,0,33,0,62,0,33,0,0,0,0
196,3,31,1,14,29,0,0,0,0,1,8,0,0,8,62,0,29,0,62,0,29,0,0,0,1
197,3,31,1,15,30,0,0,0,0,0,0,0,0,0,62,0,29,0,62,0,29,0,0,0,0
198,3,31,1,16,31,0,0,0,0,0,0,0,0,0,62,0,29,0,62,0,29,0,0,0,0
199,3,31,1,17,32,0,0,0,15,23,52,0,0,52,62,0,29,0,62,0,29,0,0,0,0
200,3,31,1,18,33,0,0,0,0,0,0,0,0,0,62,4,29,2,62,4,29,2,0,0,0
201,3,31,0,19,34,0,0,0,0,0,0,0,0,0,62,0,33,0,62,0,33,0,0,0,0
202,3,31,0,19,35,0,0,0,0,0,0,0,0,0,62,0,33,0,62,0,33,0,0,0,0
203,3,31,1,19,36,0,0,0,0,0,0,0,0,0,62,0,29,0,62,0,29,0,0,0,0
204,3,31,1,20,37,0,0,0,0,0,0,0,0,0,62,0,29,0,62,0,29,0,0,0,0
205,3,31,1,20,37,0,0,0,0,0,0,0,0,0,62,0,29,0,62,0,29,0,0,0,0
206,3,31,1,22,39,0,0,0,0,0,0,0,0,0,62,2,29,0,62,2,29,0,0,0,0
207,3,31,1,24,41,0,0,0,0,0,0,0,0,0,62,0,29,0,62,0,29,0,0,0,0
208,3,31,1,25,42,0,0,0,0,1,10,0,0,10,62,0,29,0,62,0,29,0,0,0,0
209,3,31,1,29,46,0,4,0,0,0,0,0,0,0,62,0,29,0,62,0,29,0,0,0,0
210,3,31,1,29,47,0,4,0,3,2,11,0,2,11,62,0,29,0,62,0,29,0,0,0,0
211,3,31,1,30,48,0,0,0,0,0,0,0,0,0,62,0,29,0,62,0,29,0,0,0,0
212,3,31,1,30,49,0,0,0,0,0,0,0,0,0,62,0,29,0,62,0,29,0,0,0,0
213,3,31,1,31,50,0,2,6,3,8,24,0,1,24,62,7,29,3,62,7,29,3,0,0,0
214,3,31,1,32,51,2,0,0,4,11,26,1,0,26,62,4,29,1,62,4,29,1,0,0,0
215,3,31,1,33,52,0,0,0,0,0,0,0,0,0,62,1,29,1,62,1,29,1,0,0,0
216,3,31,1,34,53,0,0,0,0,0,0,0,0,0,62,0,29,0,62,0,29,0,0,0,0
217,3,31,1,35,54,0,0,0,0,0,0,0,0,0,62,0,29,0,62,0,29,0,0,0,0
218,3,31,1,36,55,0,0,0,0,0,0,0,0,0,62,0,29,0,62,0,29,0,0,0,0
219,3,31,1,37,56,0,0,0,0,0,0,0,0,0,62,0,29,0,62,0,29,0,0,0,0
220,3,31,1,38,57,0,0,0,0,0,0,0,0,0,62,0,29,0,62,0,29,0,0,0,0
221,3,31,1,39,58,0,0,0,0,0,0,0,0,0,62,0,29,0,62,0,29,0,0,0,0
222,3,31,1,40,59,0,0,0,0,0,0,0,0,0,62,0,29,0,62,0,29,0,0,0,0
223,3,31,1,42,61,0,0,0,0,0,0,0,0,0,62,0,29,0,62,0,29,0,0,0,0
224,3,31,1,42,62,0,0,0,0,0,0,0,0,0,62,0,29,0,62,0,29,0,0,0,0
225,3,31,1,44,64,0,0,0,1,0,2,0,0,2,62,2,29,0,62,2,29,0,0,0,0
226,3,31,1,45,65,0,0,0,0,0,0,0,0,0,62,0,29,0,62,0,29,0,0,0,0
227,3,31,1,45,66,0,0,0,0,0,0,0,0,0,62,0,29,0,62,0,29,0,0,0,0
228,4,31,1,0,0,0,0,2,0,0,0,0,0,0,128,0,58,0,128,0,58,0,0,0,0
229,4,31,1,0,1,0,0,2,0,0,0,0,0,0,128,3,58,1,128,3,58,1,0,0,0
230,4,31,1,0,2,0,0,2,0,0,0,0,0,0,128,3,58,0,128,3,58,0,0,0,0
231,4,31,1,0,3,0,0,2,0,1,1,0,0,1,128,2,58,0,128,2,58,0,0,0,0
232,4,31,1,0,4,0,0,2,0,0,0,0,0,0,128,0,58,0,128,0,58,0,0,0,0
233,4,31,1,1,5,0,0,0,0,1,0,0,0,0,128,0,58,0,128,0,58,0,0,0,0
234,4,31,1,2,6,2,6,2,11,7,8,1,3,8,128,30,58,13,128,30,58,13,0,0,1
235,4,31,1,3,7,0,0,0,0,0,0,0,0,0,128,0,58,0,128,0,58,0,0,0,0
236,4,31,0,4,8,0,0,0,0,0,0,0,0,0,128,0,70,0,128,0,70,0,0,0,0
237,4,31,1,5,10,0,0,0,0,0,0,0,0,0,128,0,58,0,128,0,58,0,0,0,0
238,4,31,1,5,11,0,0,0,0,0,0,0,0,0,128,0,58,0,128,0,58,0,0,0,0
239,4,31,1,9,15,0,0,0,0,0,0,0,0,0,128,7,58,7,128,7,58,7,0,0,0
240,4,31,1,9,16,0,0,0,0,0,0,0,0,0,128,0,58,0,128,0,58,0,0,0,0
241,4,31,1,10,17,0,0,0,0,0,0,0,0,0,128,0,58,0,128,0,58,0,0,0,0
242,4,31,1,11,18,0,0,0,0,0,0,0,0,0,128,0,58,0,128,0,58,0,0,0,0
243,4,31,1,12,19,0,0,0,0,0,0,0,0,0,128,0,58,0,128,0,58,0,0,0,0
244,4,31,1,12,20,0,0,0,0,0,0,0,0,0,128,0,58,0,128,0,58,0,0,0,0
245,4,31,1,12,21,0,0,0,0,0,0,0,0,0,128,1,58,0,128,1,58,0,0,0,0
246,4,31,1,12,22,0,0,0,0,0,0,0,0,0,128,6,58,2,128,6,58,2,0,0,0
247,4,31,1,12,23,0,0,0,0,0,0,0,0,0,128,1,58,1,128,1,58,1,0,0,0
248,4,31,0,13,24,0,0,0,0,0,0,0,0,0,128,0,70,0,128,0,70,0,0,0,0
249,4,31,0,13,25,0,0,0,0,0,0,0,0,0,128,0,70,0,128,0,70,0,0,0,0
250,4,31,0,13,26,0,0,0,0,0,0,0,0,0,128,0,70,0,128,0,70,0,0,0,0
251,4,31,0,13,27,0,0,0,0,0,0,0,0,0,128,0,70,0,128,0,70,0,0,0,0
252,4,31,0,13,28,0,0,0,0,0,0,0,0,0,128,0,70,0,128,0,70,0,0,0,0
253,4,31,1,14,29,0,0,0,0,1,0,0,0,0,128,0,58,0,128,0,58,0,0,0,0
254,4,31,1,15,30,0,0,0,0,0,0,0,0,0,128,0,58,0,128,0,58,0,0,0,0
255,4,31,1,16,31,0,0,0,0,0,0,0,0,0,128,0,58,0,128,0,58,0,0,0,0
256,4,31,1,17,32,34,0,32,61,55,52,17,0,52,128,0,58,0,128,0,58,0,0,0,0
257,4,31,1,18,33,0,0,0,0,0,0,0,0,0,128,4,58,2,128,4,58,2,0,0,0
258,4,31,0,19,34,0,0,0,0,0,0,0,0,0,128,0,70,0,128,0,70,0,0,0,0
259,4,31,0,19,35,0,0,0,0,0,0,0,0,0,128,0,70,0,128,0,70,0,0,0,0
260,4,31,1,19,36,0,0,0,0,0,0,0,0,0,128,0,58,0,128,0,58,0,0,0,0
